Filename,eTime_0,eTime_1,eTime_2,eTime_3,eTime_4,eTime_5,eTime_6,eTime_7,eTime_8,eTime_9,Med,Ave,Std
56.cpp,0.003981113,0.003000498,0.003088951,0.003009558,0.003000975,0.00299859,0.002999306,0.003001213,0.00300169,0.004001617,0.003001451,0.003189542,0.00041362
57.cpp,0.002987862,0.003088951,0.003037691,0.003074884,0.003999472,0.003036022,0.00299859,0.004046917,0.003004789,0.003000975,0.003036857,0.003210274,0.000420754
58.cpp,0.004037142,0.003002882,0.003999472,0.003001213,0.003001451,0.002999544,0.003079414,0.003998756,0.002985001,0.004091978,0.003041148,0.003385273,0.00052807
59.cpp,0.003999949,0.002999306,0.002998352,0.00306201,0.002952576,0.002001286,0.003032207,0.003000259,0.003000259,0.002999783,0.003000021,0.003004182,0.000471905
6.cpp,0.00399828,0.002964258,0.002039671,0.002002716,0.003001213,0.003051758,0.003087521,0.003002405,0.003001213,0.003060579,0.003001809,0.002928311,0.000564328
60.cpp,0.004027843,0.003073931,0.003002882,0.001997709,0.003094912,0.002000093,0.003000736,0.003997087,0.002999783,0.003048182,0.003025532,0.003024426,0.000672139
61.cpp,0.003999233,0.002999544,0.006001711,0.003034115,0.006999969,0.002999783,0.003061056,0.006000042,0.00299716,0.005000353,0.003530145,0.004238465,0.001558934
62.cpp,0.004034519,0.002999067,0.003002405,0.003000975,0.003000259,0.0030303,0.003108025,0.002999783,0.001993895,0.002999306,0.003000617,0.003015377,0.000482152
63.cpp,0.004111767,0.003065586,0.004054785,0.003000736,0.002999544,0.001997948,0.001995802,0.002000809,0.003001213,0.003001213,0.003000975,0.002930034,0.000767711
64.cpp,0.003999233,0.003097534,0.00300169,0.003001213,0.003003597,0.003100395,0.003000259,0.003001213,0.003000498,0.003000498,0.003001451,0.00310978,0.000311377
65.cpp,0.004003048,0.003044128,0.003079414,0.002000332,0.003119707,0.003086329,0.003000736,0.003073931,0.002999783,0.003000975,0.00305903,0.003042492,0.000474256
66.cpp,0.002999544,0.002999306,0.002998352,0.003096819,0.002934694,0.003000021,0.003088236,0.004040718,0.004030466,0.001994133,0.002999783,0.003107461,0.000581031
67.cpp,0.003998041,0.002999544,0.00326705,0.003993034,0.002987146,0.003097296,0.002999306,0.003000736,0.002998829,0.003034353,0.003017545,0.003217535,0.000408263
68.cpp,0.003964186,0.001999378,0.002998352,0.001998663,0.003088236,0.00299859,0.002999067,0.003000736,0.003054142,0.003045082,0.002999902,0.002922394,0.000565044
69.cpp,0.003000736,0.001999617,0.003086329,0.00300169,0.003000259,0.00300169,0.003008842,0.003017187,0.003000975,0.003001928,0.00300169,0.002920086,0.000321633
7.cpp,0.003999949,0.003000736,0.00200057,0.002998829,0.003000975,0.003079891,0.002140284,0.001963377,0.003000498,0.003046513,0.003000617,0.002839294,0.000624348
70.cpp,0.002998829,0.001990318,0.00300169,0.00303483,0.003000259,0.004000902,0.003079891,0.003029108,0.004001856,0.004015684,0.003031969,0.003198667,0.000632573
71.cpp,0.004034758,0.003106833,0.003038168,0.002984524,0.002022505,0.003152132,0.002989054,0.003999233,0.003026009,0.003002644,0.003032088,0.003126177,0.00056548
72.cpp,0.003001451,0.003001213,0.00403595,0.003044605,0.003077745,0.002997875,0.002000332,0.002001762,0.003000498,0.003000975,0.003001094,0.002923955,0.000578013
73.cpp,0.003999949,0.003101587,0.002984285,0.003076792,0.00400281,0.003097057,0.002999306,0.003998518,0.003034115,0.003036022,0.003086925,0.00331067,0.000462088
74.cpp,0.003999233,0.002998114,0.002999544,0.00301671,0.00303483,0.002993822,0.00299859,0.00298357,0.002998829,0.002994537,0.00299871,0.003092408,0.00031565
75.cpp,0.00407052,0.002998829,0.003000736,0.002999544,0.002895832,0.001998425,0.003041983,0.003041267,0.002999067,0.00299716,0.002999306,0.003003879,0.000490273
76.cpp,0.002999544,0.002996922,0.002998352,0.003000498,0.003035545,0.003022671,0.003039598,0.004000664,0.003000021,0.003107786,0.003011584,0.00311029,0.000311255
77.cpp,0.002999544,0.002999306,0.002999306,0.00300169,0.003000975,0.003096581,0.00299859,0.004001617,0.003000021,0.002999067,0.002999783,0.00309968,0.000314872
78.cpp,0.00313282,0.001998186,0.003111124,0.00304985,0.00300169,0.002099276,0.003262758,0.002999067,0.003081322,0.003092289,0.003065586,0.002899452,0.000446507
79.cpp,0.003999233,0.002998829,0.003080845,0.002999783,0.002999544,0.002946615,0.002993584,0.00301981,0.004043102,0.003000498,0.00300014,0.003189271,0.000429851
8.cpp,0.004022121,0.003057003,0.006999254,0.002984285,0.003082991,0.003068686,0.003999233,0.003998518,0.00199914,0.006037235,0.003540754,0.003889929,0.001517398
80.cpp,0.003000736,0.002999306,0.002968788,0.003000498,0.00310111,0.002994776,0.003096104,0.003070116,0.002999783,0.003059149,0.003000617,0.003026453,4.76628E-05
81.cpp,0.003000498,0.002997398,0.003000021,0.002938986,0.006435394,0.006001949,0.003006935,0.004067659,0.006999016,0.003062725,0.00303483,0.004049583,0.001656771
82.cpp,0.003000259,0.002999544,0.002998352,0.003001213,0.003000498,0.002999306,0.00308156,0.002995253,0.003021002,0.002998114,0.002999902,0.003008637,2.6289E-05
83.cpp,0.003998518,0.003000498,0.003002882,0.002149582,0.002998829,0.002999306,0.003001451,0.003001451,0.002961159,0.003084421,0.003000975,0.003018097,0.000437794
84.cpp,0.002993822,0.002997875,0.003000021,0.003032446,0.003961802,0.003101587,0.003075123,0.003082275,0.003000259,0.003068924,0.003050685,0.003124075,0.00029457
85.cpp,0.004000187,0.002991915,0.002995729,0.002999067,0.002998352,0.002999306,0.001999855,0.002998114,0.002990007,0.004013538,0.002998233,0.003089482,0.000570661
86.cpp,0.003999949,0.003001928,0.003073454,0.002999544,0.003000498,0.00200057,0.003001213,0.004002333,0.003001451,0.00199914,0.003001332,0.003007401,0.000667492
87.cpp,0.004058599,0.001995802,0.003032923,0.002999544,0.002992868,0.002999306,0.002996445,0.003089666,0.001999855,0.003079653,0.002999425,0.002931281,0.000585739
88.cpp,0.003000498,0.001999855,0.003084421,0.003158092,0.002999544,0.003000498,0.003001213,0.003038645,0.003001213,0.003091097,0.003001213,0.002943299,0.000333858
89.cpp,0.004104137,0.003046274,0.002743721,0.00314641,0.003002882,0.003000975,0.003001213,0.00302577,0.003061771,0.003015518,0.003020644,0.003106301,0.000362271
9.cpp,0.003001213,0.003000498,0.003020048,0.002999783,0.002999783,0.005997658,0.003095865,0.003083706,0.003001213,0.00600481,0.003010631,0.003565019,0.001255289
90.cpp,0.004001141,0.003083706,0.003077269,0.003058434,0.002999544,0.003000498,0.006999493,0.003189802,0.003000975,0.002997875,0.003067851,0.003497871,0.001252784
91.cpp,0.002951145,0.003003597,0.003067732,0.003111362,0.003000021,0.003077507,0.003000498,0.003009319,0.003098488,0.003082275,0.003038526,0.003040043,5.35376E-05
92.cpp,0.004000664,0.006999016,0.007000208,0.004036188,0.005978823,0.003000259,0.006999254,0.006825447,0.003101349,0.006998301,0.006402135,0.005576513,0.001743848
93.cpp,0.003984928,0.003120661,0.003000975,0.002984762,0.002999067,0.002998352,0.003022194,0.004000187,0.002980471,0.002000093,0.003000021,0.003099246,0.000564384
94.cpp,0.004000425,0.002001047,0.002998114,0.003000021,0.002933025,0.003001213,0.003004551,0.003000975,0.003003359,0.003002644,0.003001094,0.002995133,0.000471757
95.cpp,0.003091812,0.002998352,0.001999617,0.003129959,0.003000975,0.003038168,0.003036022,0.003088474,0.001999617,0.003000259,0.003018498,0.002854705,0.000444229
96.cpp,0.003000736,0.002998829,0.002999306,0.004053354,0.003085613,0.003000259,0.006999254,0.003002882,0.002999544,0.00305891,0.003001809,0.003472773,0.001265428
97.cpp,0.004072666,0.002952576,0.003119469,0.00300169,0.003101349,0.002986431,0.003000736,0.003000498,0.003096104,0.00300312,0.003002405,0.003121549,0.000334782
98.cpp,0.004046917,0.002001047,0.003003836,0.003079176,0.003133774,0.003000736,0.002958536,0.003070116,0.003014326,0.003000021,0.003009081,0.00302887,0.000484819
99.cpp,0.003000021,0.003000975,0.003094435,0.002992392,0.003000021,0.003088236,0.003013849,0.002998829,0.00300169,0.003092289,0.003001332,0.003025824,4.40727E-05
