Filename,FunDef,FunApp,letlambda,BinaryOperator,letdata,closure,templateMatch,ClassDef,ForLoop,WhileLoop,DoWhileLoop,IfStmt,SwitchStmt,CaseStmt,DefaultStmt,TernaryOp,ArrayDecl,FieldDecl,EnumConstantDecl,ParamDecl,TypedefDecl,StructDecl,FloatDecl,IntegerDecl,PtrDecl,UnionDecl,ReturnStmt,BreakStmt,ContinueStmt,DeclStmt,UnaryOperator,CharLiteral,StringLiteral,DeclRefExpr,MemberRefExpr,TranslationUnit,Namespace,TemplateTypeParam,TemplateNonTypeParam,TemplateTemplateParam,UnexpoesdDecl,NewOp,DelOp,Static_Cast<>,BoolLiteral,eTime_macos,eTime_windows10,Statements,Branches,Comments,Class Defs,Methods/Class,Avg Stmts/Method,Max Complexity,Max Depth,Avg Depth,Avg Complexity,Functions,Med_win,Ave_win,Std_win,Med_mac,Ave_mac,Std_mac
121.cpp,1,0,0,11,3,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,19,0,0,1,0,0,3,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0.001652002,0.005019665,9,0,9.1,0,0,0,1,1,0.56,1,1,0.003054142,0.003123002,0.000730827,0.002885461,0.002664709,0.000558408
122.cpp,1,1,0,1,4,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,4,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0.00154376,0.006999731,12,25,10,0,0,0,4,3,1.17,4,1,0.005999207,0.004950838,0.001815362,0.002842546,0.002640462,0.000610133
123.cpp,2,3,0,5,10,4,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,10,0,0,2,0,0,9,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0.00165987,0.003997326,21,14.3,7.1,0,0,0,3,3,1.14,2.5,2,0.002999663,0.002830321,0.000428984,0.002927542,0.002722859,0.000593138
124.cpp,1,0,0,13,7,5,0,0,2,0,0,2,0,0,0,0,7,0,0,0,0,0,0,12,0,0,1,0,0,7,2,10,0,20,0,1,0,0,0,0,0,0,0,0,2,0.001828194,0.004000664,16,31.2,4,0,0,0,10,4,1.44,10,1,0.003034711,0.003118526,0.000307911,0.002905965,0.00270257,0.000610123
125.cpp,1,0,0,18,5,10,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,27,0,0,1,2,0,5,0,0,0,27,0,1,0,0,0,0,0,0,0,0,1,0.001570702,0.003998041,33,27.3,3.8,0,0,0,14,3,1.97,14,1,0.003019929,0.003055648,7.67E-05,0.002958536,0.002772331,0.0005973
126.cpp,2,1,0,3,3,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,3,1,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0.001606941,0.005001545,7,14.3,36.8,0,0,0,2,2,0.57,2,1,0.003039718,0.00295172,0.0003344,0.002863169,0.002740049,0.000603507
127.cpp,1,0,0,11,6,5,0,0,2,0,0,2,0,0,0,0,3,0,0,0,0,0,0,13,0,0,1,0,0,5,2,1,1,18,0,1,0,0,0,0,0,0,0,0,6,0.001752138,0.005003691,15,26.7,4,0,0,0,5,4,1.4,5,1,0.003080606,0.003170534,0.000596443,0.002906561,0.002617812,0.000588244
128.cpp,2,1,0,5,5,5,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,7,0,0,3,0,0,5,2,0,0,10,0,1,0,0,0,0,0,0,0,0,2,0.001724005,0.005997896,16,25,8,0,0,0,3,3,1,3,2,0.003076315,0.003238873,0.000411741,0.002726912,0.002577162,0.000526537
129.cpp,1,0,0,8,3,3,0,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,9,0,0,1,0,0,3,4,0,1,14,0,1,0,0,0,0,0,0,0,0,0,0.001635075,0.005000114,12,16.7,5.6,0,0,0,4,3,1.25,4,1,0.003029466,0.003209602,0.000427375,0.002733111,0.002634764,0.00068282
13.cpp,1,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,19,0,0,1,0,0,2,0,12,0,8,0,1,0,0,0,0,0,0,0,0,0,0.001616001,0.005001068,5,0,33.3,0,0,0,1,1,0.6,1,1,0.003017545,0.003104221,0.000737136,0.002758503,0.002662921,0.0006279
130.cpp,1,0,0,4,7,3,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,16,0,0,1,0,0,7,2,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0.001561165,0.004999638,13,15.4,15,0,0,0,3,2,0.92,3,1,0.002999783,0.003109802,0.000598135,0.002955914,0.002654266,0.000535335
131.cpp,1,0,0,8,6,3,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,19,0,0,1,0,0,6,4,0,0,15,0,1,0,0,0,0,0,0,0,4,0,0.001522779,0.00500226,11,18.2,11.8,0,0,0,3,2,1,3,1,0.003000855,0.00328724,0.00069115,0.002792478,0.0026124,0.000517151
132.cpp,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0.001630068,0.004002094,6,0,12.5,0,0,0,1,1,0.5,1,1,0.002999187,0.002930435,0.000578379,0.002802968,0.002643251,0.000652759
133.cpp,1,0,0,5,5,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,5,1,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0.001567125,0.003998756,13,15.4,10.5,0,0,0,3,3,1.08,3,1,0.003000498,0.003100872,0.000565686,0.002926946,0.002731609,0.000572837
134.cpp,1,0,0,3,6,3,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,11,0,0,1,0,0,5,1,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0.001521111,0.004999638,12,16.7,25,0,0,0,3,3,1.25,3,1,0.003003836,0.003290783,0.000495646,0.002794266,0.002605367,0.000623586
135.cpp,2,2,0,7,7,4,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,2,0,0,7,2,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0.001563787,0.005001783,16,12.5,12.5,0,0,0,2,2,0.94,2,2,0.003000259,0.003030972,0.000658512,0.002878904,0.002646017,0.000623792
136.cpp,1,0,0,14,6,5,0,0,2,0,0,2,0,0,0,0,10,0,0,0,0,0,0,13,0,0,1,0,0,6,2,5,4,22,0,1,0,0,0,0,0,0,0,0,0,0.001524925,0.003020048,12,33.3,11.1,0,0,0,8,5,1.67,8,1,0.003075838,0.003158071,0.000328302,0.002852321,0.002630544,0.000598154
137.cpp,1,0,0,4,8,5,0,0,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,12,0,0,1,0,0,8,5,0,0,16,0,1,0,0,0,0,0,0,0,0,2,0.001708984,0.002998114,16,25,11.5,0,0,0,5,4,1.38,5,1,0.003000498,0.003130111,0.000609287,0.002806544,0.002665329,0.000633814
138.cpp,1,0,0,3,10,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,10,0,0,1,0,0,3,0,0,4,13,0,1,0,0,0,0,0,0,0,0,0,0.00156188,0.004999161,15,26.7,0,0,0,0,5,2,1.07,5,1,0.003076434,0.003236565,0.000415769,0.002874017,0.002673221,0.000561057
