Filename,FunDef,FunApp,letlambda,BinaryOperator,letdata,closure,templateMatch,ClassDef,ForLoop,WhileLoop,DoWhileLoop,IfStmt,SwitchStmt,CaseStmt,DefaultStmt,TernaryOp,ArrayDecl,FieldDecl,EnumConstantDecl,ParamDecl,TypedefDecl,StructDecl,FloatDecl,IntegerDecl,PtrDecl,UnionDecl,ReturnStmt,BreakStmt,ContinueStmt,DeclStmt,UnaryOperator,CharLiteral,StringLiteral,DeclRefExpr,MemberRefExpr,TranslationUnit,Namespace,TemplateTypeParam,TemplateNonTypeParam,TemplateTemplateParam,UnexpoesdDecl,NewOp,DelOp,Static_Cast<>,BoolLiteral
20.cpp,1,0,0,6,6,4,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,15,0,0,1,0,0,6,2,0,0,12,0,1,0,0,0,0,0,0,0,0,0
21.cpp,2,1,0,31,7,4,0,0,2,0,0,0,0,0,0,0,5,0,0,1,0,0,0,31,0,0,2,0,0,7,2,0,0,33,0,1,0,0,0,0,0,0,0,2,0
22.cpp,1,0,0,21,11,11,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,8,2,0,0,36,0,1,0,0,0,0,0,0,0,0,0
23.cpp,1,0,0,8,6,3,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,19,0,0,1,0,0,6,4,0,0,15,0,1,0,0,0,0,0,0,0,4,0
24.cpp,1,1,0,6,4,2,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,1,0,0,4,2,2,0,12,1,1,0,0,0,0,0,0,0,0,2
25.cpp,1,0,0,10,13,5,0,0,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,31,0,0,1,0,0,11,4,0,0,41,0,1,0,0,0,0,0,0,0,2,0
26.cpp,1,0,0,9,8,3,0,0,1,0,0,1,0,0,0,0,6,0,0,0,0,0,0,15,0,0,1,0,0,7,1,0,0,24,0,1,0,0,0,0,0,0,0,0,0
27.cpp,3,4,0,5,7,8,0,0,1,0,0,4,0,0,0,0,4,0,0,3,0,0,0,7,0,0,6,0,0,7,3,0,0,18,2,1,0,0,0,0,0,0,0,0,0
28.cpp,1,0,0,11,8,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,13,0,0,1,0,0,4,1,0,1,21,0,1,0,0,0,0,0,0,0,0,0
29.cpp,1,0,0,18,12,10,0,0,6,0,0,3,0,0,0,0,10,0,0,0,0,0,0,9,0,0,1,2,0,11,10,12,3,36,0,1,0,0,0,0,0,0,0,0,7
3.cpp,1,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0
30.cpp,1,0,0,15,7,5,0,0,1,2,0,1,0,0,0,0,5,0,0,0,0,0,0,13,0,0,1,0,0,5,3,0,0,31,0,1,0,0,0,0,0,0,0,0,0
31.cpp,2,2,0,6,1,4,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,3,0,0,3,0,0,1,1,4,0,6,1,1,0,0,0,0,0,0,0,0,0
32.cpp,1,0,0,3,4,4,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,4,0,0,1,0,0,4,3,0,2,9,0,1,0,0,0,0,0,0,0,0,0
33.cpp,1,0,0,2,4,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,11,0,0,1,0,0,4,1,0,0,8,0,1,0,0,0,0,0,0,0,0,0
34.cpp,2,5,0,10,10,9,0,0,4,0,0,3,0,0,0,0,8,0,0,1,0,0,0,6,0,0,1,2,0,10,4,0,0,29,2,1,0,0,0,0,0,0,0,0,4
35.cpp,1,8,0,15,6,2,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,3,0,0,1,0,0,5,2,2,0,16,8,1,0,0,0,0,0,0,0,0,2
36.cpp,1,0,0,16,4,5,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,4,1,0,0,21,0,1,0,0,0,0,0,0,0,0,0
37.cpp,1,0,0,5,5,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,5,0,8,0,14,0,1,0,0,0,0,0,0,0,0,0
38.cpp,1,0,0,6,4,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,3,2,0,0,10,0,1,0,0,0,0,0,0,0,0,0
39.cpp,1,0,0,5,3,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,3,1,0,0,7,0,1,0,0,0,0,0,0,0,0,0
4.cpp,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
40.cpp,1,0,0,7,6,4,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,16,0,0,1,0,0,4,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0
41.cpp,3,4,0,13,3,8,0,0,1,1,0,3,0,0,0,0,0,0,0,2,0,0,0,10,0,0,6,0,0,3,1,0,0,19,0,1,0,0,0,0,0,0,0,0,5
42.cpp,1,0,0,4,4,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,1,0,0,4,1,0,0,12,0,1,0,0,0,0,0,0,0,0,0
43.cpp,1,0,0,5,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,2,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0
44.cpp,2,3,0,6,6,4,0,0,0,1,0,0,1,6,1,0,0,0,6,2,0,0,2,9,0,0,1,7,0,6,5,3,0,23,0,1,0,0,0,0,0,0,0,0,1
45.cpp,1,0,0,12,5,4,0,0,1,0,0,2,0,0,0,0,5,0,0,0,0,0,0,16,0,0,1,1,0,5,2,0,0,22,0,1,0,0,0,0,0,0,0,0,0
46.cpp,1,6,0,6,4,11,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,4,9,3,1,15,6,1,0,0,0,0,0,0,0,0,3
47.cpp,1,0,0,6,5,2,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,17,0,0,1,0,0,3,1,0,0,11,0,1,0,0,0,0,0,0,0,0,0
48.cpp,1,0,0,10,6,5,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,16,0,0,1,0,0,5,1,0,0,19,0,1,0,0,0,0,0,0,0,0,0
49.cpp,1,0,0,4,3,6,0,0,1,1,0,2,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,1,0,3,2,3,0,10,0,1,0,0,0,0,0,0,0,0,0
5.cpp,1,0,0,5,6,5,0,0,2,0,0,2,0,0,0,0,4,0,0,0,0,0,0,10,0,0,1,0,0,6,2,0,0,18,0,1,0,0,0,0,0,0,0,0,2
50.cpp,1,0,0,2,5,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,2,1,0,0,9,0,1,0,0,0,0,0,0,0,0,0
51.cpp,1,0,0,10,8,8,0,0,1,0,0,5,1,4,1,0,1,0,0,0,0,0,0,13,0,0,1,6,0,5,2,4,0,23,0,1,0,0,0,0,0,0,0,0,0
52.cpp,1,0,0,8,6,5,0,0,2,0,0,2,0,0,0,0,6,0,0,0,0,0,0,12,0,0,1,2,0,6,2,0,0,20,0,1,0,0,0,0,0,0,0,0,2
53.cpp,1,0,0,10,10,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,21,0,0,1,0,0,5,1,0,0,18,0,1,0,0,0,0,0,0,0,0,0
54.cpp,1,0,0,7,9,5,0,0,1,0,0,2,0,0,0,0,4,0,0,0,0,0,0,19,0,0,1,0,0,8,5,0,0,19,0,1,0,0,0,0,0,0,0,0,0
55.cpp,1,0,0,7,5,3,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,18,0,0,0,0,0,4,1,0,0,11,0,1,0,0,0,0,0,0,0,0,0
56.cpp,1,5,0,6,3,10,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,3,1,0,4,6,5,1,0,0,0,0,0,0,0,0,0
57.cpp,1,0,0,12,4,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,12,0,0,1,0,0,4,1,0,0,10,0,1,0,0,0,0,0,0,0,0,0
58.cpp,1,0,0,11,7,5,0,0,1,1,0,1,0,0,0,0,7,0,0,0,0,0,0,16,0,0,1,0,0,6,2,0,1,21,0,1,0,0,0,0,0,0,0,0,0
59.cpp,1,0,0,3,7,4,0,0,2,0,0,1,0,0,0,0,8,0,0,0,0,0,0,20,0,0,1,0,0,7,2,0,0,19,0,1,0,0,0,0,0,0,0,0,0
6.cpp,1,0,0,4,4,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,10,0,0,1,0,0,4,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0
60.cpp,1,0,0,15,10,2,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,8,9,0,0,1,0,0,8,1,0,0,25,0,1,0,0,0,0,0,0,0,0,0
61.cpp,1,1,0,17,9,9,0,0,2,0,0,5,0,0,0,0,8,0,0,0,0,0,0,20,0,0,1,0,0,8,2,8,0,26,1,1,0,0,0,0,0,0,0,0,0
62.cpp,1,0,0,14,5,8,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,5,3,0,0,29,0,1,0,0,0,0,0,0,0,0,0
63.cpp,2,1,0,12,8,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,1,0,0,8,3,3,0,18,0,1,0,0,0,0,0,0,0,2,1
64.cpp,1,0,0,5,6,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,6,5,0,0,17,0,1,0,0,0,0,0,0,0,0,0
65.cpp,1,0,0,11,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,2,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0
66.cpp,1,1,0,26,4,5,0,0,1,0,0,3,0,0,0,0,10,0,0,0,0,0,0,12,0,0,1,0,0,4,2,10,0,19,1,1,0,0,0,0,0,0,0,0,0
67.cpp,1,0,0,16,9,7,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,16,0,0,1,1,0,7,10,0,0,31,0,1,0,0,0,0,0,0,0,0,2
68.cpp,1,0,0,12,4,6,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,4,0,0,0,12,0,1,0,0,0,0,0,0,0,0,3
69.cpp,1,0,0,4,5,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,2,0,0,8,0,1,0,0,0,0,0,0,0,0,0
7.cpp,1,0,0,9,5,5,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,10,0,0,1,0,0,5,5,4,1,16,0,1,0,0,0,0,0,0,0,0,0
70.cpp,4,3,0,0,4,7,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,2,7,0,0,1,0,0,4,5,0,0,10,0,1,0,0,0,0,0,0,0,0,0
71.cpp,1,0,0,6,7,6,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,16,0,0,1,0,0,5,2,0,0,15,0,1,0,0,0,0,0,0,0,0,0
72.cpp,1,0,0,4,7,3,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,16,0,0,1,0,0,7,2,0,0,12,0,1,0,0,0,0,0,0,0,0,0
73.cpp,1,0,0,6,7,4,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,12,0,0,1,0,0,4,2,0,0,17,0,1,0,0,0,0,0,0,0,0,0
74.cpp,1,0,0,5,8,4,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,17,0,0,1,0,0,7,2,0,0,12,0,1,0,0,0,0,0,0,0,0,0
75.cpp,1,0,0,10,8,5,0,0,3,0,0,1,0,0,0,0,4,0,0,0,0,0,0,9,0,0,1,0,0,8,3,0,0,24,0,1,0,0,0,0,0,0,0,0,0
76.cpp,2,1,0,14,7,6,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,14,0,0,1,0,0,7,3,3,0,17,0,1,0,0,0,0,0,0,0,1,1
77.cpp,1,0,0,7,11,5,0,0,3,1,0,0,0,0,0,0,5,0,0,0,0,0,0,15,0,0,1,0,0,10,4,0,0,21,0,1,0,0,0,0,0,0,0,0,3
78.cpp,1,1,0,8,5,3,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,7,0,0,1,0,0,5,1,0,0,11,1,1,0,0,0,0,0,0,0,0,0
79.cpp,1,0,0,4,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
8.cpp,1,1,0,6,5,4,0,0,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,6,0,0,1,0,0,5,2,0,0,11,1,1,0,0,0,0,0,0,0,0,2
80.cpp,1,0,0,2,4,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,4,2,0,0,7,0,1,0,0,0,0,0,0,0,0,0
81.cpp,2,1,0,49,2,2,0,0,0,0,0,0,0,0,0,0,44,2,0,2,0,1,0,63,0,0,2,0,0,2,0,0,0,54,50,1,0,0,0,0,0,0,0,0,0
82.cpp,1,0,0,7,5,5,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,9,0,0,1,0,0,5,5,3,1,15,0,1,0,0,0,0,0,0,0,0,0
83.cpp,1,0,0,19,16,13,0,0,4,1,0,6,0,0,0,0,13,0,0,0,0,0,0,20,0,0,1,0,0,13,6,6,1,50,0,1,0,0,0,0,0,0,0,0,0
84.cpp,1,0,0,11,18,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,18,1,0,0,19,0,1,0,0,0,0,0,0,0,0,0
85.cpp,1,0,0,5,6,4,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,16,0,0,1,0,0,5,1,0,0,10,0,1,0,0,0,0,0,0,0,0,0
86.cpp,1,0,0,12,12,4,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,13,0,0,1,0,0,7,1,0,3,26,0,1,0,0,0,0,0,0,0,0,0
87.cpp,1,0,0,19,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,1,0,0,4,0,0,0,18,0,1,0,0,0,0,0,0,0,0,0
88.cpp,1,0,0,13,16,12,0,0,5,1,0,4,0,0,0,0,11,0,0,0,0,0,0,28,0,0,1,2,0,13,7,0,0,41,0,1,0,0,0,0,0,0,0,0,2
89.cpp,2,1,0,16,7,7,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,2,16,0,0,1,0,0,7,3,3,0,18,0,1,0,0,0,0,0,0,0,1,1
9.cpp,1,0,0,8,7,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,12,0,0,1,0,0,4,1,0,0,12,0,1,0,0,0,0,0,0,0,0,0
90.cpp,1,0,0,13,6,3,0,0,1,0,0,1,0,0,0,0,6,0,0,0,0,0,0,14,0,0,1,0,0,6,1,0,0,24,0,1,0,0,0,0,0,0,0,0,0
91.cpp,1,0,0,23,11,5,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,18,0,0,1,0,0,11,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0
92.cpp,2,5,0,28,8,15,0,0,2,0,0,7,0,0,0,0,15,0,0,5,0,0,0,40,0,0,1,0,0,5,2,0,0,82,0,1,0,0,0,0,0,0,0,0,3
93.cpp,1,0,0,3,7,3,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,8,0,0,1,0,0,7,1,1,5,11,0,1,0,0,0,0,0,0,0,0,0
94.cpp,1,0,0,4,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
95.cpp,1,0,0,14,12,4,0,0,1,0,0,2,0,0,0,0,4,0,0,0,0,0,0,14,0,0,1,0,0,8,1,0,0,31,0,1,0,0,0,0,0,0,0,0,0
96.cpp,1,0,0,3,6,3,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,11,0,0,1,1,0,6,5,0,0,13,0,1,0,0,0,0,0,0,0,0,0
97.cpp,1,0,0,13,8,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,1,0,0,6,1,0,0,19,0,1,0,0,0,0,0,0,0,0,0
98.cpp,1,0,0,7,2,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,2,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0
99.cpp,1,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,19,0,0,1,0,0,2,0,12,0,8,0,1,0,0,0,0,0,0,0,0,0
