Filename,FunDef,FunApp,letlambda,BinaryOperator,letdata,closure,templateMatch,ClassDef,ForLoop,WhileLoop,DoWhileLoop,IfStmt,SwitchStmt,CaseStmt,DefaultStmt,TernaryOp,ArrayDecl,FieldDecl,EnumConstantDecl,ParamDecl,TypedefDecl,StructDecl,FloatDecl,IntegerDecl,PtrDecl,UnionDecl,ReturnStmt,BreakStmt,ContinueStmt,DeclStmt,UnaryOperator,CharLiteral,StringLiteral,DeclRefExpr,MemberRefExpr,TranslationUnit,Namespace,TemplateTypeParam,TemplateNonTypeParam,TemplateTemplateParam,UnexpoesdDecl,NewOp,DelOp,Static_Cast<>,BoolLiteral,Time,M,O,S
18.cpp,0,1,0,5,3,4,0,1,0,1,0,2,0,0,0,0,4,0,0,1,0,0,0,5,0,0,2,0,0,2,2,0,0,12,1,1,0,0,0,0,0,0,0,0,0,0.0015176804509669,20.91,n,1
19.cpp,0,1,0,3,3,3,0,1,1,0,0,1,0,0,0,0,3,0,0,2,0,0,0,2,0,0,1,0,0,3,2,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0.0015618649245266,10.46,n,1
2.cpp,0,4,0,11,5,4,0,1,1,1,0,1,0,0,0,0,3,0,0,1,0,0,0,9,0,0,1,0,0,4,4,0,0,18,4,1,0,0,0,0,0,0,0,0,0,0.0016798938915223,14.31,n,1
20.cpp,0,2,0,14,6,9,0,1,2,2,0,4,0,0,0,0,8,0,0,2,0,0,0,10,0,0,3,0,0,3,5,0,0,25,2,1,0,0,0,0,0,0,0,0,0,0.0015844721507788,7.8,n,n
21.cpp,0,6,0,16,4,11,0,1,1,1,0,8,0,0,0,1,2,0,0,2,0,0,0,10,0,0,2,0,0,4,7,0,0,28,6,1,0,0,0,0,0,0,0,0,1,0.0014857250755912,8.5,logn,logn
22.cpp,0,6,0,12,2,4,0,1,0,2,0,1,0,0,0,0,6,0,0,1,0,0,0,7,0,0,0,0,0,2,2,0,0,14,4,1,0,0,0,0,0,0,0,0,0,0.0016175111182574,14.43,n,1
23.cpp,0,1,0,4,3,5,0,1,1,0,0,3,0,0,0,0,2,0,0,1,0,0,0,3,0,0,1,0,0,2,1,2,0,8,1,1,0,0,0,0,0,0,0,0,0,0.0016996396604375,8.87,n,n
24.cpp,0,1,0,23,4,10,0,1,0,1,0,6,0,0,0,1,8,0,0,2,0,0,0,16,0,0,4,0,0,3,4,0,0,32,1,1,0,0,0,0,0,0,0,0,0,0.0015138662962579,13.55,logn,1
25.cpp,0,3,0,20,6,6,0,1,0,1,0,2,0,0,0,0,4,0,0,5,0,0,0,5,0,0,1,0,0,4,0,0,0,25,3,1,0,0,0,0,0,0,0,0,0,0.0014977436662856,16.01,logn,1
26.cpp,0,1,0,11,5,4,0,1,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,5,0,0,1,0,0,3,0,0,0,16,1,1,0,0,0,0,0,0,0,0,0,0.0014500385136743,12.18,logn,n
27.cpp,0,2,0,9,5,4,0,1,1,2,0,0,0,0,0,0,3,0,0,1,0,0,0,3,0,0,1,0,0,5,2,0,0,18,2,1,0,0,0,0,0,0,0,0,0,0.0017676038328801,10.13,n2,n
28.cpp,0,3,0,9,4,5,0,1,2,0,0,2,0,0,0,0,4,0,0,1,0,0,0,7,0,0,2,0,0,4,3,0,0,18,1,1,0,0,0,0,0,0,0,0,0,0.0016724189194922,52.58,n,1
29.cpp,0,1,0,5,5,5,0,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7,0,0,2,0,0,5,3,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0.0016971583812064,3.0,n,n
3.cpp,0,5,0,27,9,10,0,1,0,1,0,5,0,0,0,0,6,0,0,5,0,0,0,17,0,0,3,0,0,8,0,0,0,35,4,1,0,0,0,0,0,0,0,0,1,0.0014755252049273,92.38,logn,1
30.cpp,0,2,0,13,5,8,0,1,3,0,0,3,0,0,0,0,5,0,0,2,0,0,0,8,0,0,0,1,0,5,3,3,0,17,2,1,0,0,0,0,0,0,0,0,0,0.0017837927093219,3.0,n2,n2
31.cpp,0,2,0,7,5,4,0,1,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,5,0,0,1,0,0,2,2,0,0,16,1,1,0,0,0,0,0,0,0,0,0,0.0016061361426971,3.0,n,1
32.cpp,0,1,0,6,4,3,0,1,2,0,0,0,0,0,0,0,4,0,0,1,0,0,0,3,0,0,0,0,0,4,2,0,0,13,1,1,0,0,0,0,0,0,0,0,0,0.0016354707871906,3.0,n2,n2
33.cpp,0,3,0,9,2,3,0,1,0,0,0,1,0,0,0,2,0,0,0,4,0,0,2,5,0,0,3,0,0,2,1,0,0,15,3,1,0,0,0,0,0,0,0,0,0,0.0015947983824434,3.0,logn,logn
34.cpp,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0015053454146606,3.0,n,1
35.cpp,0,4,0,10,10,4,0,1,1,0,0,2,0,0,0,0,10,0,0,1,0,0,0,24,0,0,1,0,0,6,3,0,0,20,4,1,0,0,0,0,0,0,0,0,0,0.0017785230909199,3.0,n2,n2
36.cpp,0,2,0,6,3,4,0,1,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,3,0,0,2,0,0,3,1,0,0,12,1,1,0,0,0,0,0,0,0,0,2,0.0016481004622954,3.0,n,1
37.cpp,0,1,0,0,4,2,0,1,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,2,0,0,1,0,0,4,1,0,0,4,1,1,0,0,0,0,0,0,0,0,1,0.0016328937722298,3.0,n,1
38.cpp,0,1,0,5,2,3,0,1,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,3,0,0,1,0,0,2,3,2,0,8,1,1,0,0,0,0,0,0,0,0,0,0.0016596647127197,3.0,n,1
39.cpp,0,0,0,11,8,3,0,1,0,1,0,1,0,0,0,0,8,0,0,1,0,0,0,10,0,0,0,0,0,6,1,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0.0017035254017875,3.0,n2,1
4.cpp,0,2,0,14,7,11,0,1,3,0,0,5,0,0,0,0,2,0,0,1,0,0,0,9,0,0,2,1,0,7,3,0,0,26,2,1,0,0,0,0,0,0,0,0,0,0.0017215722711697,283.46,n2,n2
40.cpp,0,0,0,4,5,5,0,1,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,0,0,1,1,0,5,5,1,0,13,0,1,0,0,0,0,0,0,0,0,0,0.0017500289234651,3.0,n2,n
41.cpp,0,0,0,5,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,2,2,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0.001599267539162,3.0,n,1
42.cpp,0,0,0,2,2,3,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,2,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0.0017768228232977,3.0,n2,n2
43.cpp,0,3,0,8,4,5,0,1,2,0,0,2,0,0,0,0,4,0,0,1,0,0,0,8,0,0,0,0,1,3,2,0,0,12,3,1,0,0,0,0,0,0,0,0,0,0.0017308689199827,3.0,n2,n
44.cpp,0,5,0,20,7,6,0,1,4,0,0,1,0,0,0,0,28,0,0,1,0,0,0,25,0,0,2,0,0,6,4,0,0,34,4,1,0,0,0,0,0,0,0,0,0,0.0016573065945238,3.0,n2,n2
45.cpp,0,1,0,6,3,4,0,1,2,0,0,1,0,0,0,0,3,0,0,1,0,0,0,5,0,0,1,0,0,3,3,0,0,12,1,1,0,0,0,0,0,0,0,0,0,0.0016911323067368,3.0,n,1
46.cpp,0,18,0,6,4,3,0,1,1,0,0,1,0,0,0,3,0,0,0,2,0,0,0,6,0,0,1,0,0,3,1,5,0,22,14,1,0,0,0,0,0,0,0,0,0,0.0015086011907872,3.0,n,1
47.cpp,0,3,0,17,14,8,0,1,1,2,0,2,0,0,0,0,3,0,0,7,0,0,0,6,0,0,3,0,1,13,2,1,0,29,3,1,0,0,0,0,0,0,0,0,1,0.0015661784891075,3.0,n,n
48.cpp,0,1,0,7,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,5,0,0,2,0,0,1,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0.0014448007202202,3.0,1,1
49.cpp,0,0,0,5,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,2,1,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0.0015446938140306,3.0,n,1
5.cpp,0,1,0,14,8,5,0,1,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,9,0,0,2,0,0,5,4,0,0,18,1,1,0,0,0,0,0,0,0,0,0,0.0017746247845938,36.25,n2,n2
50.cpp,0,1,0,1,4,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0.0016016737060754,3.0,n,n
51.cpp,0,2,0,14,9,5,0,1,4,0,0,2,0,0,0,0,2,0,0,2,0,0,0,12,0,0,1,0,0,9,4,0,0,20,2,1,0,0,0,0,0,0,0,0,0,0.0016527251489056,3.0,n2,n2
52.cpp,0,2,0,5,6,7,0,1,4,0,0,2,0,0,0,0,5,0,0,1,0,0,0,6,0,0,0,0,0,6,5,0,0,17,2,1,0,0,0,0,0,0,0,0,0,0.0017321436363141,3.0,n2,n
53.cpp,0,3,0,4,4,5,0,1,2,0,0,2,0,0,0,0,6,0,0,1,0,0,0,4,0,0,0,0,0,4,4,0,0,19,1,1,0,0,0,0,0,0,0,0,0,0.0015562963226615,3.0,n,1
54.cpp,0,1,0,5,3,4,0,1,0,1,0,2,0,0,0,0,4,0,0,1,0,0,0,4,0,0,2,0,0,2,2,0,0,13,1,1,0,0,0,0,0,0,0,0,0,0.0016855340975259,3.0,n,1
55.cpp,0,1,0,27,4,12,0,1,0,1,0,7,0,0,0,0,12,0,0,2,0,0,0,11,0,0,4,0,0,3,2,0,0,40,1,1,0,0,0,0,0,0,0,0,3,0.0016153212548171,3.0,n,1
56.cpp,0,9,0,9,6,6,0,1,3,2,0,0,0,0,0,0,4,0,0,1,0,0,0,5,0,0,1,0,0,6,5,0,0,20,9,1,0,0,0,0,0,0,0,0,0,0.0016711802995611,3.0,n,n
57.cpp,0,1,0,15,2,4,0,1,1,0,0,2,0,0,0,0,4,0,0,1,0,0,0,8,0,0,0,0,0,2,1,4,0,11,1,1,0,0,0,0,0,0,0,0,0,0.0016307961216161,3.0,n,n
58.cpp,0,3,0,17,7,6,0,1,2,0,0,3,0,0,0,0,16,0,0,3,0,0,0,11,0,0,2,0,0,5,2,0,0,32,3,1,0,0,0,0,0,0,0,0,2,0.0016971806464495,3.0,n2,n2
59.cpp,0,1,0,2,3,3,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3,2,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0.001628757216126,3.0,n2,n2
6.cpp,0,0,0,5,2,3,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,6,0,0,2,0,0,2,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0.0015314665473947,8.14,logn,1
60.cpp,0,2,0,5,4,3,0,1,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3,0,0,1,0,0,3,2,0,0,13,1,1,0,0,0,0,0,0,0,0,0,0.0017610326370803,3.0,n2,1
61.cpp,0,2,0,3,3,2,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,4,0,0,1,0,0,3,1,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0.0015715415492623,3.0,n,1
62.cpp,0,1,0,3,4,3,0,1,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,2,0,0,2,0,0,3,2,0,0,8,1,1,0,0,0,0,0,0,0,0,2,0.001621309308851,3.0,n,n
63.cpp,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0016934588867091,3.0,n,n
64.cpp,0,2,0,22,4,10,0,1,4,0,0,4,0,0,0,0,13,2,0,4,0,0,0,9,0,0,2,0,0,4,4,6,0,29,11,1,0,0,0,0,0,0,0,0,0,0.0016638768114918,3.0,n2,n2
65.cpp,0,1,0,9,6,6,0,1,0,2,0,2,0,0,0,0,2,0,0,2,0,0,0,6,0,0,2,1,0,5,2,0,0,20,1,1,0,0,0,0,0,0,0,0,0,0.0015421350730771,3.0,n,1
66.cpp,0,1,0,13,5,7,0,1,2,0,0,2,0,0,0,0,4,0,0,1,0,0,0,10,0,0,1,0,0,4,3,0,0,16,1,1,0,0,0,0,0,0,0,0,0,0.0016984852989127,3.0,n,n
67.cpp,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0016793456564509,3.0,n,1
68.cpp,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0016080750679844,3.0,n,n
69.cpp,0,7,0,8,4,4,0,1,2,0,0,1,0,0,0,0,4,0,0,2,0,0,0,4,0,0,1,1,0,4,2,0,0,14,6,1,0,0,0,0,0,0,0,0,2,0.0017907970164152,3.0,n2,n
7.cpp,0,1,0,10,1,4,0,2,0,0,0,5,0,0,0,1,0,3,0,3,0,0,0,9,0,0,5,0,0,1,1,4,0,10,5,1,0,0,0,0,0,0,0,0,0,0.0015056655937044,15.57,n,1
70.cpp,0,13,0,12,6,6,0,1,1,0,0,1,1,4,0,0,1,0,0,2,0,0,0,2,0,0,2,4,0,6,2,4,4,21,12,1,0,0,0,0,0,0,0,0,0,0.00151061424528,3.0,n,n
71.cpp,0,10,0,14,4,3,0,1,1,1,0,2,0,0,0,0,5,0,0,1,0,0,0,3,0,0,1,0,0,4,4,3,0,25,8,1,0,0,0,0,0,0,0,0,0,0.0016654299054468,3.0,n,1
72.cpp,0,5,0,8,6,2,0,1,1,0,0,0,0,0,0,0,9,0,0,1,0,0,0,4,0,0,1,0,0,3,1,0,0,26,1,1,0,0,0,0,0,0,0,0,0,0.0015615502048613,3.0,logn,1
73.cpp,0,1,0,5,4,2,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6,0,0,1,0,0,4,1,1,0,8,1,1,0,0,0,0,0,0,0,0,0,0.0016872080075719,3.0,n,1
74.cpp,0,0,0,3,3,3,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,1,0,0,3,1,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0.0016200164071087,3.0,n,1
75.cpp,0,2,0,4,5,3,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,0,0,0,0,0,4,2,0,0,6,2,1,0,0,0,0,0,0,0,0,0,0.0016699616423625,3.0,n2,n2
76.cpp,0,11,0,12,5,5,0,1,1,0,0,2,1,3,1,0,5,0,0,1,0,0,0,6,0,0,1,3,0,5,3,6,0,26,7,1,0,0,0,0,0,0,0,0,0,0.0015698574423537,3.0,n,n
77.cpp,0,6,0,8,6,4,0,1,0,2,0,1,0,0,0,0,3,0,0,1,0,0,0,4,0,0,1,0,0,6,2,0,1,18,4,1,0,0,0,0,0,0,0,0,0,0.0015363695645719,3.0,n,1
78.cpp,0,1,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0016491305465342,3.0,n,n
79.cpp,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.0014377457129367,3.0,1,1
8.cpp,0,0,0,15,1,3,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,9,0,0,2,0,0,1,0,0,0,13,0,1,0,0,0,0,0,0,0,0,1,0.0015530835240744,8.41,logn,1
80.cpp,0,1,0,9,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,1,0,0,3,1,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0.0015776488271539,3.0,logn,1
81.cpp,0,1,0,4,4,4,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,4,3,0,0,9,1,1,0,0,0,0,0,0,0,0,0,0.0016542568986375,3.0,n,n
82.cpp,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0016391422172777,3.0,n2,1
83.cpp,0,1,0,2,3,2,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,3,1,0,2,3,1,1,0,0,0,0,0,0,0,0,1,0.0015076260977716,3.0,n,n
84.cpp,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0016031917424105,3.0,n,n
85.cpp,0,1,0,24,15,7,0,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,25,0,0,3,0,0,12,3,2,0,42,1,1,0,0,0,0,0,0,0,0,3,0.0015125455372896,3.0,n,1
86.cpp,0,5,1,4,3,6,0,1,2,0,0,2,0,0,0,0,6,0,0,3,0,0,0,7,0,0,2,0,0,3,2,0,0,13,4,1,0,0,0,0,0,0,0,0,0,0.0017598669161518,3.0,n2,n
87.cpp,0,2,0,5,4,4,0,1,2,0,0,1,0,0,0,0,5,0,0,1,0,0,0,5,0,0,2,0,0,3,2,0,0,11,2,1,0,0,0,0,0,0,0,0,2,0.001758090413971,3.0,n2,1
88.cpp,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0016966346701746,3.0,n,n
89.cpp,0,2,0,3,3,3,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,3,0,0,1,0,0,2,2,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0.0015054398604882,3.0,n,1
9.cpp,0,3,1,8,5,10,0,1,2,0,0,5,0,0,0,0,2,0,0,4,0,0,0,6,0,0,2,0,0,5,2,2,0,17,2,1,0,0,0,0,0,0,0,0,2,0.0016455736064447,8.74,n2,n2
90.cpp,0,1,0,10,4,5,0,1,1,0,0,3,0,0,0,0,3,0,0,3,0,0,0,6,0,0,1,0,0,2,5,0,0,21,1,1,0,0,0,0,0,0,0,0,0,0.001687549094109,3.0,n,1
91.cpp,0,2,0,7,5,6,0,1,2,0,0,3,0,0,0,0,2,0,0,2,0,0,0,2,0,0,3,1,0,4,2,0,0,15,2,1,0,0,0,0,0,0,0,0,5,0.0017757218497633,3.0,n2,1
92.cpp,0,1,0,12,8,5,0,1,2,0,0,2,0,0,0,0,1,0,0,1,0,0,0,7,0,0,1,0,0,8,2,0,0,21,1,1,0,0,0,0,0,0,0,0,0,0.0015225800684405,3.0,n,n
93.cpp,0,2,0,3,4,4,0,1,2,0,0,1,0,0,0,0,2,0,0,3,0,0,1,3,0,0,1,0,0,4,2,0,0,10,1,1,0,0,0,0,0,0,0,0,0,0.0017730273021932,3.0,n2,n
94.cpp,0,4,0,25,10,11,0,1,4,0,0,5,0,0,0,0,10,0,0,1,0,0,0,12,0,0,2,3,0,9,4,4,0,47,4,1,0,0,0,0,0,0,0,0,2,0.0016438861518238,3.0,n2,1
95.cpp,0,7,0,8,4,4,0,1,2,0,0,1,0,0,0,0,4,0,0,2,0,0,0,4,0,0,1,1,0,4,2,0,0,14,6,1,0,0,0,0,0,0,0,0,2,0.0016882634105001,3.0,n2,n
96.cpp,0,1,0,3,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,3,1,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0.0016960497348943,3.0,n,1
97.cpp,0,0,0,7,2,4,0,1,0,1,0,1,0,0,0,0,0,5,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,9,4,1,0,0,0,0,0,0,0,0,1,0.0014372805706868,3.0,1,1
98.cpp,0,0,0,17,6,5,0,1,0,2,0,2,0,0,0,0,6,0,0,1,0,0,0,12,0,0,2,0,0,6,4,6,0,21,0,1,0,0,0,0,0,0,0,0,0,0.0016700870298785,3.0,n,n
99.cpp,0,10,0,8,3,5,0,1,1,0,0,3,0,0,0,0,2,0,0,2,0,0,0,5,0,0,1,0,0,3,2,3,0,14,8,1,0,0,0,0,0,0,0,0,0,0.0016612962744915,3.0,n,1
