Filename,eTime_0,eTime_1,eTime_2,eTime_3,eTime_4,eTime_5,eTime_6,eTime_7,eTime_8,eTime_9,Med,Ave,Std
110.cpp,0.001529932,0.001755953,0.00201273,0.00254488,0.002652168,0.002897978,0.003222942,0.003040075,0.005209923,0.003318071,0.002775073,0.002818465,0.001039694
111.cpp,0.001713991,0.001929045,0.002185106,0.002694845,0.002887011,0.00301981,0.002919197,0.003378153,0.003259897,0.003138065,0.002903104,0.002712512,0.000575494
112.cpp,0.001580715,0.001815796,0.002248764,0.002665043,0.002985001,0.003066778,0.003088951,0.002964258,0.00318408,0.00357604,0.002974629,0.002717543,0.000639011
113.cpp,0.001505136,0.002127886,0.002392054,0.002535343,0.002889156,0.003166199,0.003321171,0.003549814,0.003021955,0.003592014,0.002955556,0.002810073,0.000668024
114.cpp,0.001476765,0.001767159,0.002085924,0.002481222,0.002582073,0.003332138,0.00314188,0.003237963,0.00316,0.002984762,0.002783418,0.002624989,0.000660475
115.cpp,0.001456022,0.001959085,0.002147198,0.002493858,0.002634048,0.003022909,0.002932072,0.002969027,0.00336194,0.00306797,0.00278306,0.002604413,0.000592694
116.cpp,0.001470804,0.001783133,0.00219202,0.00247407,0.002728939,0.002992868,0.003343105,0.003075123,0.003057241,0.003130913,0.002860904,0.002624822,0.000628787
117.cpp,0.001567125,0.001808167,0.002176046,0.002511024,0.002604008,0.003329039,0.002779961,0.002949953,0.00300312,0.003061056,0.002691984,0.00257895,0.000571402
118.cpp,0.001467943,0.001751661,0.002229929,0.002514839,0.003053904,0.00318408,0.003371,0.003075123,0.003464222,0.003460169,0.003064513,0.002757287,0.000726649
119.cpp,0.001605272,0.001889944,0.002422094,0.002514124,0.002752066,0.002933979,0.002882957,0.003175259,0.003214121,0.003271818,0.002817512,0.002666163,0.000564018
12.cpp,0.001631021,0.001935005,0.002295017,0.002562046,0.002840042,0.003287077,0.003602266,0.002950907,0.003306866,0.003319025,0.002895474,0.002772927,0.000654096
120.cpp,0.001449108,0.002438307,0.002202034,0.002603054,0.002723932,0.002970219,0.003093004,0.003040075,0.003503323,0.003041983,0.002847075,0.002706504,0.000576978
121.cpp,0.001657963,0.001915932,0.002275229,0.002463341,0.002855778,0.002991199,0.003201008,0.003227711,0.003143787,0.002915144,0.002885461,0.002664709,0.000558408
122.cpp,0.001497269,0.001863241,0.002179861,0.002748966,0.002614021,0.003435135,0.002936125,0.002996922,0.003119946,0.003013134,0.002842546,0.002640462,0.000610133
123.cpp,0.001721144,0.001878023,0.002338171,0.002469063,0.002823114,0.003243923,0.003031969,0.003108978,0.003189087,0.003425121,0.002927542,0.002722859,0.000593138
124.cpp,0.001557112,0.001796722,0.002445221,0.002898932,0.002684832,0.002976894,0.002912998,0.003023148,0.00344491,0.003284931,0.002905965,0.00270257,0.000610123
125.cpp,0.001750708,0.001984119,0.002194881,0.002700806,0.002911091,0.003279924,0.003005981,0.003155947,0.003454924,0.003284931,0.002958536,0.002772331,0.0005973
126.cpp,0.001763105,0.001979113,0.00228405,0.002484083,0.002895117,0.003201008,0.002831221,0.003245831,0.003679037,0.00303793,0.002863169,0.002740049,0.000603507
127.cpp,0.001602173,0.001790762,0.002104044,0.002490044,0.002879143,0.003245831,0.003123045,0.002933979,0.002978086,0.003031015,0.002906561,0.002617812,0.000588244
128.cpp,0.001510143,0.00207901,0.002103806,0.002580881,0.002620935,0.00283289,0.002893925,0.002923012,0.003217936,0.003009081,0.002726912,0.002577162,0.000526537
129.cpp,0.001464128,0.001829147,0.002078056,0.002523184,0.002624989,0.002937078,0.002841234,0.003176928,0.003170967,0.003701925,0.002733111,0.002634764,0.00068282
13.cpp,0.001499891,0.002030849,0.002111912,0.002491951,0.002630949,0.003094912,0.002886057,0.003307819,0.003165007,0.003409863,0.002758503,0.002662921,0.0006279
130.cpp,0.001586914,0.002010107,0.002305031,0.002460957,0.002929926,0.003090858,0.003056049,0.002981901,0.003046751,0.003074169,0.002955914,0.002654266,0.000535335
131.cpp,0.001554966,0.002032995,0.002266884,0.002520084,0.002717972,0.003133059,0.002866983,0.002969027,0.003014803,0.003047228,0.002792478,0.0026124,0.000517151
132.cpp,0.001495123,0.001803875,0.002132893,0.002582073,0.002686024,0.003117085,0.002919912,0.003032923,0.003060818,0.003601789,0.002802968,0.002643251,0.000652759
133.cpp,0.001594067,0.001924753,0.002439022,0.00288105,0.00296402,0.002889872,0.003386259,0.002984762,0.003219128,0.003033161,0.002926946,0.002731609,0.000572837
134.cpp,0.001509905,0.001774073,0.002118111,0.002583265,0.002481937,0.00311017,0.003027916,0.003259897,0.003183126,0.003005266,0.002794266,0.002605367,0.000623586
135.cpp,0.001450062,0.001840115,0.002165079,0.002893925,0.002626181,0.003311872,0.003020048,0.002863884,0.003118038,0.003170967,0.002878904,0.002646017,0.000623792
136.cpp,0.001523018,0.001788855,0.002179146,0.002707005,0.00282073,0.003358841,0.002883911,0.00297904,0.003041029,0.003023863,0.002852321,0.002630544,0.000598154
137.cpp,0.001556158,0.001886845,0.002166986,0.00249505,0.002701044,0.003462076,0.003286123,0.002912045,0.003256083,0.00293088,0.002806544,0.002665329,0.000633814
138.cpp,0.001582146,0.001870155,0.002345085,0.002753973,0.002795935,0.002995968,0.002952099,0.003084183,0.003251791,0.003100872,0.002874017,0.002673221,0.000561057
139.cpp,0.001516819,0.001791,0.00208807,0.002652168,0.003011703,0.003097057,0.002899885,0.002882719,0.002986908,0.002943993,0.002891302,0.002587032,0.000572065
